temperatuer (°C),Thermistor Resistance (Ω),Output Voltage (V),ADC
10,18250,4.5099999999999998,923
11,17291,4.4800000000000004,918
12,16600,4.46,914
13,15940,4.4400000000000004,910
14,15308,4.4199999999999999,906
15,14703,4.4000000000000004,901
16,14123,4.3799999999999999,897
17,13569,4.3600000000000003,892
18,13038,4.3399999999999999,888
19,12530,4.3099999999999996,883
20,12140,4.29,879
21,11576,4.2599999999999998,873
22,11129,4.2400000000000002,868
23,10701,4.21,863
24,10291,4.1900000000000004,857
25,10000,4.1699999999999999,853
26,9520,4.1299999999999999,846
27,9159,4.0999999999999996,840
28,8812,4.0800000000000001,835
29,8480,4.0499999999999998,829
30,8283,4.0300000000000002,825
31,7855,3.9900000000000002,816
32,7562,3.9500000000000002,810
33,7280,3.9199999999999999,803
34,7010,3.8900000000000001,797
35,6750,3.8599999999999999,790
